Variable,Word,Count
Opposed,racetracks,41
Opposed,bankruptcy,41
Opposed,civic,41
Opposed,generations,41
Opposed,hours,40
Opposed,fund,40
Opposed,levels,40
Opposed,becoming,40
Opposed,suicides,40
Opposed,clear,40
Opposed,left,40
Opposed,strain,40
Opposed,energy,40
Opposed,retail,40
Opposed,worst,40
Opposed,grounds,40
Opposed,municipal,39
Opposed,aspects,39
Opposed,harms,39
Opposed,alcoholism,39
Opposed,return,39
Opposed,negatives,39
Opposed,matter,39
Opposed,ford,39
Opposed,road,39
Opposed,host,39
Opposed,port,39
Opposed,wide,39
Opposed,considered,39
Opposed,cheapen,39
Opposed,wins,38
Opposed,case,38
Opposed,lifestyle,38
Opposed,security,38
Opposed,wasting,38
Opposed,adults,38
Opposed,monetary,38
Opposed,solve,38
Opposed,destroyed,38
Opposed,water,38
Opposed,cheap,38
Opposed,inward,38
Opposed,york,38
Opposed,causing,37
Opposed,million,37
Opposed,rest,37
Opposed,homeless,37
Opposed,reduce,37
Opposed,interested,37
Opposed,vicinity,37
Opposed,becomes,37
Opposed,sources,37
Opposed,hosting,37
Opposed,dead,37
Opposed,different,37
Opposed,minimum,37
Opposed,point,37
Opposed,putting,37
Opposed,unsavoury,37
Opposed,developed,37
Opposed,called,37
Opposed,backs,37
Opposed,busy,36
Opposed,contributes,36
Opposed,fair,36
Opposed,suffering,36
Opposed,atmosphere,36
Opposed,greatly,36
Opposed,exploits,36
Opposed,either,36
Opposed,giving,36
Opposed,proposal,36
Opposed,corporate,35
Opposed,possibly,35
Opposed,raised,35
Opposed,condos,35
Opposed,drunk,35
Opposed,taxpayer,35
Opposed,commercial,35
Opposed,documented,35
Opposed,proponents,35
Opposed,horrible,35
Opposed,represent,35
Opposed,decision,35
Opposed,recreation,35
Opposed,trust,35
Opposed,except,35
Opposed,weaknesses,35
Opposed,view,35
Opposed,sufficient,35
Opposed,travel,34
Opposed,agree,34
Opposed,resulting,34
Opposed,lotteries,34
Opposed,neighborhoods,34
Opposed,hand,34
Opposed,sighted,34
Opposed,heart,34
Opposed,still,34
Opposed,losers,34
Opposed,foster,34
Opposed,focused,34
Opposed,trashy,34
Opposed,nightmare,34
Opposed,overstated,34
Opposed,misery,34
Opposed,almost,34
Opposed,coffers,34
Opposed,shops,34
Opposed,institutions,34
Opposed,fear,34
Opposed,thus,34
Opposed,attractive,34
Opposed,developing,33
Opposed,seniors,33
Opposed,theft,33
Opposed,purpose,33
Opposed,decrease,33
Opposed,convinced,33
Opposed,present,33
Opposed,populations,32
Opposed,bankruptcies,32
Opposed,primarily,32
Opposed,break,32
Opposed,happen,32
Opposed,unwanted,32
Opposed,exploit,32
Opposed,thinking,32
Opposed,payers,32
Opposed,completely,32
Opposed,save,32
Opposed,worsen,32
Opposed,attention,32
Opposed,kinds,32
Opposed,alone,31
Opposed,certain,31
Opposed,past,31
Opposed,immediate,31
Opposed,owned,31
Opposed,elderly,31
Opposed,lived,31
Opposed,amounts,31
Opposed,suggested,31
Opposed,personally,31
Opposed,economies,31
Opposed,study,31
Opposed,game,31
Opposed,lakeshore,31
Opposed,supported,31
Opposed,flow,31
Opposed,regarding,31
Opposed,design,31
Opposed,appeal,31
Opposed,behavior,31
Opposed,workers,31
Opposed,destinations,31
Opposed,choice,30
Opposed,prevent,30
Opposed,address,30
Opposed,degrade,30
Opposed,insufficient,30
Opposed,employees,30
Opposed,boost,30
Opposed,politicians,30
Opposed,vehicle,30
Opposed,times,30
Opposed,operations,30
Opposed,mind,30
Opposed,medical,30
Opposed,referendum,30
Opposed,invite,30
Opposed,citizen,30
Opposed,direct,30
Opposed,detroit,30
Opposed,socio,30
Opposed,devastating,30
Opposed,capacity,30
Opposed,disproportionately,30
Opposed,direction,30
Opposed,competition,30
Opposed,sort,30
Opposed,promotion,29
Opposed,illness,29
Opposed,stated,29
Opposed,allow,29
Opposed,sharks,29
Opposed,promises,29
Opposed,market,29
Opposed,beyond,29
Opposed,locals,29
Opposed,minimal,29
Opposed,exacerbate,29
Opposed,diversity,29
Opposed,possibility,29
Opposed,room,29
Opposed,mixed,29
Opposed,someone,29
Opposed,absolutely,29
Opposed,although,29
Opposed,actual,29
Opposed,estimates,29
Opposed,london,29
Opposed,expected,29
Opposed,questionable,29
Opposed,offers,29
Opposed,density,29
Opposed,larger,29
Opposed,opening,29
Opposed,brought,28
Opposed,disaster,28
Opposed,entire,28
Opposed,line,28
Opposed,opinion,28
Opposed,establishment,28
Opposed,depressing,28
Opposed,recreational,28
Opposed,independent,28
Opposed,aren,28
Opposed,conditions,28
Opposed,seedy,28
Opposed,eyesore,28
Opposed,changes,28
Opposed,largely,28
Opposed,none,28
Opposed,groups,28
Opposed,mainly,28
Opposed,ideas,28
Opposed,model,28
Opposed,provided,28
Opposed,odds,28
Opposed,detracts,27
Opposed,enable,27
Opposed,exaggerated,27
Opposed,adequate,27
Opposed,assistance,27
Opposed,fiscal,27
Opposed,promoted,27
Opposed,base,27
Opposed,portlands,27
Opposed,group,27
Opposed,across,27
Opposed,fall,27
Opposed,hour,27
Opposed,sector,27
Opposed,fine,27
Opposed,common,27
Opposed,please,27
Opposed,niagra,27
Opposed,unlikely,27
Opposed,estimated,27
Opposed,expenses,27
Opposed,vices,27
Opposed,divert,27
Opposed,younger,27
Opposed,condo,27
Opposed,proof,27
Opposed,integrated,27
Opposed,slot,26
Opposed,dubious,26
Opposed,mean,26
Opposed,keeping,26
Opposed,receive,26
Opposed,doubt,26
Opposed,essentially,26
Opposed,investors,26
Opposed,worry,26
Opposed,drawing,26
Opposed,weakness,26
Opposed,earn,26
Opposed,fosters,26
Opposed,depend,26
Opposed,monies,26
Opposed,affordable,26
Opposed,struggling,26
Opposed,particular,26
Opposed,apart,26
Opposed,longer,26
Opposed,persons,26
Opposed,desperation,26
Opposed,style,26
Opposed,excessive,26
Opposed,profitable,26
Opposed,capital,26
Opposed,gets,26
Opposed,love,25
Opposed,enormous,25
Opposed,hardship,25
Opposed,purposes,25
Opposed,compete,25
Opposed,relationships,25
Opposed,machines,25
Opposed,meaningful,25
Opposed,degradation,25
Opposed,petty,25
Opposed,night,25
Opposed,significantly,25
Opposed,clean,25
Opposed,similar,25
Opposed,neighbouring,25
Opposed,anyway,25
Opposed,smoking,25
Opposed,unfair,25
Opposed,exploitation,25
Opposed,interesting,25
Opposed,successful,25
Opposed,venture,25
Opposed,contrary,25
Opposed,understand,25
Opposed,unless,25
Opposed,stores,25
Opposed,proper,25
Opposed,happened,25
Opposed,inflated,25
Opposed,inadequate,25
Opposed,substance,24
Opposed,livable,24
Opposed,anti,24
Opposed,dirty,24
Opposed,disadvantaged,24
Opposed,continue,24
Opposed,contribution,24
Opposed,order,24
Opposed,convenient,24
Opposed,appear,24
Opposed,statistics,24
Opposed,parts,24
Opposed,attempt,24
Opposed,claims,24
Opposed,claim,24
Opposed,black,24
Opposed,gangs,24
Opposed,hopes,24
Opposed,casion,24
Opposed,thought,24
Opposed,report,24
Opposed,players,24
